ODATEDW,OSOURCE,TCODE,STATE,ZIP,MAILCODE,PVASTATE,DOB,NOEXCH,RECINHSE,RECP3,RECPGVG,RECSWEEP,MDMAUD,DOMAIN,CLUSTER,AGE,AGEFLAG,HOMEOWNR,CHILD03,CHILD07,CHILD12,CHILD18,NUMCHLD,INCOME,GENDER,WEALTH1,HIT,MBCRAFT,MBGARDEN,MBBOOKS,MBCOLECT,MAGFAML,MAGFEM,MAGMALE,PUBGARDN,PUBCULIN,PUBHLTH,PUBDOITY,PUBNEWFN,PUBPHOTO,PUBOPP,DATASRCE,MALEMILI,MALEVET,VIETVETS,WWIIVETS,LOCALGOV,STATEGOV,FEDGOV,SOLP3,SOLIH,MAJOR,WEALTH2,GEOCODE,COLLECT1,VETERANS,BIBLE,CATLG,HOMEE,PETS,CDPLAY,STEREO,PCOWNERS,PHOTO,CRAFTS,FISHER,GARDENIN,BOATS,WALKER,KIDSTUFF,CARDS,PLATES,LIFESRC,PEPSTRFL,POP901,POP902,POP903,POP90C1,POP90C2,POP90C3,POP90C4,POP90C5,ETH1,ETH2,ETH3,ETH4,ETH5,ETH6,ETH7,ETH8,ETH9,ETH10,ETH11,ETH12,ETH13,ETH14,ETH15,ETH16,AGE901,AGE902,AGE903,AGE904,AGE905,AGE906,AGE907,CHIL1,CHIL2,CHIL3,AGEC1,AGEC2,AGEC3,AGEC4,AGEC5,AGEC6,AGEC7,CHILC1,CHILC2,CHILC3,CHILC4,CHILC5,HHAGE1,HHAGE2,HHAGE3,HHN1,HHN2,HHN3,HHN4,HHN5,HHN6,MARR1,MARR2,MARR3,MARR4,HHP1,HHP2,DW1,DW2,DW3,DW4,DW5,DW6,DW7,DW8,DW9,HV1,HV2,HV3,HV4,HU1,HU2,HU3,HU4,HU5,HHD1,HHD2,HHD3,HHD4,HHD5,HHD6,HHD7,HHD8,HHD9,HHD10,HHD11,HHD12,ETHC1,ETHC2,ETHC3,ETHC4,ETHC5,ETHC6,HVP1,HVP2,HVP3,HVP4,HVP5,HVP6,HUR1,HUR2,RHP1,RHP2,RHP3,RHP4,HUPA1,HUPA2,HUPA3,HUPA4,HUPA5,HUPA6,HUPA7,RP1,RP2,RP3,RP4,MSA,ADI,DMA,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10,IC11,IC12,IC13,IC14,IC15,IC16,IC17,IC18,IC19,IC20,IC21,IC22,IC23,HHAS1,HHAS2,HHAS3,HHAS4,MC1,MC2,MC3,TPE1,TPE2,TPE3,TPE4,TPE5,TPE6,TPE7,TPE8,TPE9,PEC1,PEC2,TPE10,TPE11,TPE12,TPE13,LFC1,LFC2,LFC3,LFC4,LFC5,LFC6,LFC7,LFC8,LFC9,LFC10,OCC1,OCC2,OCC3,OCC4,OCC5,OCC6,OCC7,OCC8,OCC9,OCC10,OCC11,OCC12,OCC13,EIC1,EIC2,EIC3,EIC4,EIC5,EIC6,EIC7,EIC8,EIC9,EIC10,EIC11,EIC12,EIC13,EIC14,EIC15,EIC16,OEDC1,OEDC2,OEDC3,OEDC4,OEDC5,OEDC6,OEDC7,EC1,EC2,EC3,EC4,EC5,EC6,EC7,EC8,SEC1,SEC2,SEC3,SEC4,SEC5,AFC1,AFC2,AFC3,AFC4,AFC5,AFC6,VC1,VC2,VC3,VC4,ANC1,ANC2,ANC3,ANC4,ANC5,ANC6,ANC7,ANC8,ANC9,ANC10,ANC11,ANC12,ANC13,ANC14,ANC15,POBC1,POBC2,LSC1,LSC2,LSC3,LSC4,VOC1,VOC2,VOC3,HC1,HC2,HC3,HC4,HC5,HC6,HC7,HC8,HC9,HC10,HC11,HC12,HC13,HC14,HC15,HC16,HC17,HC18,HC19,HC20,HC21,MHUC1,MHUC2,AC1,AC2,ADATE_2,ADATE_3,ADATE_4,ADATE_5,ADATE_6,ADATE_7,ADATE_8,ADATE_9,ADATE_10,ADATE_11,ADATE_12,ADATE_13,ADATE_14,ADATE_15,ADATE_16,ADATE_17,ADATE_18,ADATE_19,ADATE_20,ADATE_21,ADATE_22,ADATE_23,ADATE_24,RFA_2,RFA_3,RFA_4,RFA_5,RFA_6,RFA_7,RFA_8,RFA_9,RFA_10,RFA_11,RFA_12,RFA_13,RFA_14,RFA_15,RFA_16,RFA_17,RFA_18,RFA_19,RFA_20,RFA_21,RFA_22,RFA_23,RFA_24,CARDPROM,MAXADATE,NUMPROM,CARDPM12,NUMPRM12,RDATE_3,RDATE_4,RDATE_5,RDATE_6,RDATE_7,RDATE_8,RDATE_9,RDATE_10,RDATE_11,RDATE_12,RDATE_13,RDATE_14,RDATE_15,RDATE_16,RDATE_17,RDATE_18,RDATE_19,RDATE_20,RDATE_21,RDATE_22,RDATE_23,RDATE_24,RAMNT_3,RAMNT_4,RAMNT_5,RAMNT_6,RAMNT_7,RAMNT_8,RAMNT_9,RAMNT_10,RAMNT_11,RAMNT_12,RAMNT_13,RAMNT_14,RAMNT_15,RAMNT_16,RAMNT_17,RAMNT_18,RAMNT_19,RAMNT_20,RAMNT_21,RAMNT_22,RAMNT_23,RAMNT_24,RAMNTALL,NGIFTALL,CARDGIFT,MINRAMNT,MINRDATE,MAXRAMNT,MAXRDATE,LASTGIFT,LASTDATE,FISTDATE,NEXTDATE,TIMELAG,AVGGIFT,CONTROLN,TARGET_B,TARGET_D,HPHONE_D,RFA_2R,RFA_2F,RFA_2A,MDMAUD_R,MDMAUD_F,MDMAUD_A,CLUSTER2,GEOCODE2
8901,GRI,0,IL,61081, , ,3712,0, , , , ,XXXX,T2,36,60.0, , , , , , ,,,F,,0,,,,,,,,,,,,,,, ,0,39,34,18,10,2,1, , , ,5.0, , , , , , , , , , , , , , , , , , , , ,X,992,264,332,0,35,65,47,53,92,1,0,0,11,0,0,0,0,0,0,0,11,0,0,0,39,48,51,40,50,54,25,31,42,27,11,14,18,17,13,11,15,12,11,34,25,18,26,10,23,18,33,49,28,12,4,61,7,12,19,198,276,97,95,2,2,0,0,7,7,0,479,635,3,2,86,14,96,4,7,38,80,70,32,84,16,6,2,5,9,15,3,17,50,25,0,0,0,2,7,13,27,47,0,1,61,58,61,15,4,2,0,0,14,1,0,0,2,5,17,73,0.0,177.0,682.0,307,318,349,378,12883,13,23,23,23,15,1,0,0,1,4,25,24,26,17,2,0,0,2,28,4,51,1,46,54,3,88,8,0,0,0,0,0,0,4,1,13,14,16,2,45,56,64,50,64,44,62,53,99,0,0,9,3,8,13,9,0,3,9,3,15,19,5,4,3,0,3,41,1,0,7,13,6,5,0,4,9,4,1,3,10,2,1,7,78,2,0,120,16,10,39,21,8,4,3,5,20,3,19,4,0,0,0,18,39,0,34,23,18,16,1,4,0,23,0,0,5,1,0,0,0,0,0,2,0,3,74,88,8,0,4,96,77,19,13,31,5,14,14,31,54,46,0,0,90,0,10,0,0,0,33,65,40,99,99,6,2,10,7,9706,9606.0,9604.0,9604.0,9603.0,9602.0,9601.0,9511.0,9510.0,9510.0,9508.0,9507.0,9506.0,9504.0,9503.0,9502.0,9501.0,9411.0,9411.0,9410.0,9409.0,9407.0,9406.0,L4E,S4E,S4E,S4E,S4E,S4E,S4E,S4E,S4E,S4E,S4E,S4E,S4E,S4E,S4E,S4E,S4E,S4E,S4E,S4E,S4E,S4E,S4E,27,9702,74,6,14,,,,,,,,9512.0,,,,9507.0,9505.0,9505.0,9503.0,,,,,,9408.0,9406.0,,,,,,,,10.0,,,,10.0,11.0,11.0,11.0,,,,,,11.0,9.0,240.0,31,14,5.0,9208,12.0,9402,10.0,9512,8911,9003.0,4.0,7.7419354839,95515,0,0.0,0,L,4,E,X,X,X,39.0,C
9401,BOA,1,CA,91326, , ,5202,0, , , , ,XXXX,S1,14,46.0,E,H, , , ,M,1.0,6.0,M,9.0,16,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,3,0,15,55,11,6,2,1, , , ,9.0,02, , , , , , , , , , , , , , , , , , , , ,3611,940,998,99,0,0,50,50,67,0,0,31,6,4,2,6,4,14,0,0,2,0,1,4,34,41,43,32,42,45,32,33,46,21,13,14,33,23,10,4,2,11,16,36,22,15,12,1,5,4,21,75,55,23,9,69,4,3,24,317,360,99,99,0,0,0,0,0,0,0,5468,5218,12,10,96,4,97,3,9,59,94,88,55,95,5,4,1,3,5,4,2,18,44,5,0,0,0,97,98,98,98,99,94,0,83,76,73,21,5,0,0,0,4,0,0,0,91,91,91,94,4480.0,13.0,803.0,1088,1096,1026,1037,36175,2,6,2,5,15,14,13,10,33,2,5,2,5,15,14,14,10,32,6,2,66,3,56,44,9,80,14,0,0,0,0,0,0,6,0,2,24,32,12,71,70,83,58,81,57,64,57,99,99,0,22,24,4,21,13,2,1,6,0,4,1,0,3,1,0,6,13,1,2,8,18,11,4,3,4,10,7,11,1,6,2,1,16,69,5,2,160,5,5,12,21,7,30,20,14,24,4,24,10,0,0,0,8,15,0,55,10,11,0,0,2,0,3,1,1,2,3,1,1,0,3,0,0,0,42,39,50,7,27,16,99,92,53,5,10,2,26,56,97,99,0,0,0,96,0,4,0,0,0,99,0,99,99,99,20,4,6,5,9706,9606.0,9604.0,9604.0,9603.0,9602.0,9601.0,9511.0,9510.0,9510.0,9509.0,,,,9503.0,,,9411.0,9411.0,9410.0,9409.0,,9406.0,L2G,A2G,A2G,A2G,A2G,A1E,A1E,A1E,A1E,A1E,A1E, , , ,L1E, , ,N1E,N1E,N1E,N1E, ,F1E,12,9702,32,6,13,,,,,,,9512.0,,,,,,,9504.0,,,,,,,,,,,,,,,25.0,,,,,,,12.0,,,,,,,,,47.0,3,1,10.0,9310,25.0,9512,25.0,9512,9310,9504.0,18.0,15.666666667,148535,0,0.0,0,L,2,G,X,X,X,1.0,A
9001,AMH,1,NC,27017, , ,0,0, , , , ,XXXX,R2,43,, ,U, , , , ,,3.0,M,1.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0,20,29,33,6,8,1, , , ,1.0, , , , , , , , , , , , , , , , , , , , ,X,7001,2040,2669,0,2,98,49,51,96,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,35,43,46,37,45,49,23,35,40,25,13,20,19,16,13,10,8,15,14,30,22,19,25,10,23,21,35,44,22,6,2,63,9,9,19,183,254,69,69,1,6,5,3,3,3,0,497,546,2,1,78,22,93,7,18,36,76,65,30,86,14,7,2,5,11,17,3,17,60,18,0,1,0,0,1,6,18,50,0,4,36,49,51,14,5,4,2,24,11,2,3,6,0,2,9,44,0.0,281.0,518.0,251,292,292,340,11576,32,18,20,15,12,2,0,0,1,20,19,24,18,16,2,0,0,1,28,8,31,11,38,62,8,74,22,0,0,0,0,0,2,2,1,21,19,24,6,61,65,73,59,70,56,78,62,82,99,4,10,5,2,6,12,0,1,9,5,18,20,5,7,6,0,11,33,4,3,2,12,3,3,2,0,7,8,3,3,6,7,1,8,74,3,1,120,22,20,28,16,6,5,3,1,23,1,16,6,0,0,0,10,21,0,28,23,32,8,1,14,1,5,0,0,7,0,0,0,0,0,1,0,0,2,84,96,3,0,0,92,65,29,9,22,3,12,23,50,69,31,0,0,0,6,35,44,0,15,22,77,17,97,92,9,2,6,5,9706,9606.0,9604.0,9604.0,9603.0,9602.0,9601.0,9511.0,,9510.0,9508.0,9507.0,9506.0,9504.0,9503.0,,9501.0,9411.0,,,9409.0,9407.0,9406.0,L4E,S4E,S4E,S4E,S4E,S4F,S4F,S4F, ,S4F,S4F,S4F,S4F,S4F,S4F, ,S4D,S4D, , ,S4D,S4D,S3D,26,9702,63,6,14,,,,,,,,,,9509.0,,9506.0,,9504.0,,9501.0,,,,9409.0,9407.0,9406.0,,,,,,,,,,11.0,,9.0,,9.0,,8.0,,,,8.0,7.0,6.0,202.0,27,14,2.0,9111,16.0,9207,5.0,9512,9001,9101.0,12.0,7.4814814815,15078,0,0.0,1,L,4,E,X,X,X,60.0,C
8701,BRY,0,CA,95953, , ,2801,0, , , , ,XXXX,R2,44,70.0,E,U, , , , ,,1.0,F,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,23,14,31,3,0,3, , , ,0.0, , , , , , , , , , , , , , , , , , , , ,X,640,160,219,0,8,92,54,46,61,0,0,11,32,6,2,0,0,0,0,0,31,0,0,1,32,40,44,34,43,47,25,45,35,20,15,25,17,17,12,7,7,20,17,30,14,19,25,11,23,23,27,50,30,15,8,63,9,6,23,199,283,85,83,3,4,1,0,2,0,2,1000,1263,2,1,48,52,93,7,6,36,73,61,30,84,16,6,3,3,21,12,4,13,36,13,0,0,0,10,25,50,69,92,10,15,42,55,50,15,5,4,0,9,42,4,0,5,1,8,17,34,9340.0,67.0,862.0,386,388,396,423,15130,27,12,4,26,22,5,0,0,4,35,5,6,12,30,6,0,0,5,22,14,26,20,46,54,3,58,36,0,0,0,0,0,6,0,0,17,13,15,0,43,69,81,53,68,45,33,31,0,99,23,17,3,0,6,6,0,0,13,42,12,0,0,0,42,0,6,3,0,0,0,23,3,3,6,0,3,3,3,3,3,0,3,6,87,0,0,120,28,12,14,27,10,3,5,0,19,1,17,0,0,0,0,13,23,0,14,40,31,16,0,1,0,13,0,0,4,0,0,0,3,0,0,0,0,29,67,56,41,3,0,94,43,27,4,38,0,10,19,39,45,55,0,0,45,22,17,0,0,16,23,77,22,93,89,16,2,6,6,9706,9606.0,9604.0,9604.0,9603.0,9602.0,9601.0,9511.0,,9510.0,9508.0,9507.0,9506.0,9504.0,9503.0,9502.0,9501.0,9411.0,9411.0,9410.0,9409.0,,,L4E,S4E,S4E,S4E,S4E,S4E,S4E,S4E, ,S4E,S4E,S4E,S4E,S4E,S4E,S2D,S2D,A1D,A1D,A1D,A1D, , ,27,9702,66,6,14,,,,,,,,,9512.0,9509.0,,9508.0,,9505.0,9503.0,,,9411.0,9411.0,,,,,,,,,,,,10.0,10.0,,10.0,,7.0,11.0,,,6.0,11.0,,,,109.0,16,7,2.0,8711,11.0,9411,10.0,9512,8702,8711.0,9.0,6.8125,172556,0,0.0,1,L,4,E,X,X,X,41.0,C
8601, ,0,FL,33176, , ,2001,0,X,X, , ,XXXX,S2,16,78.0,E,H, , , , ,1.0,3.0,F,2.0,60,1.0,0.0,9.0,0.0,4.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,3,1,28,9,53,26,3,2, ,12, ,, , , ,Y,Y, , , ,Y, , ,Y, ,Y, ,Y, ,Y, ,3, ,2520,627,761,99,0,0,46,54,2,98,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33,45,50,36,46,50,27,34,43,23,14,21,13,15,20,12,5,13,15,34,19,19,31,7,27,16,26,57,36,24,14,42,17,9,33,235,323,99,98,0,0,0,0,0,0,0,576,594,4,3,90,10,97,3,0,42,82,49,22,92,8,20,3,17,9,23,1,1,1,0,21,58,19,0,1,2,16,67,0,2,45,52,53,16,6,0,0,0,9,0,0,0,25,58,74,83,5000.0,127.0,528.0,240,250,293,321,9836,24,29,23,13,4,4,0,0,2,21,30,22,16,4,5,0,0,3,35,8,11,14,20,80,4,73,22,1,1,0,0,0,3,1,2,1,24,27,3,76,61,73,51,65,49,80,31,81,99,10,17,8,2,6,15,3,7,22,2,9,0,7,2,2,0,6,1,5,2,2,12,2,7,6,4,15,29,4,3,26,3,2,7,49,12,1,120,16,20,30,13,3,12,5,2,26,1,20,7,1,1,1,15,28,4,9,16,53,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65,99,0,0,0,90,45,18,25,34,0,1,3,6,33,67,0,0,9,14,72,3,0,0,99,1,21,99,96,6,2,7,11,9706,9606.0,9604.0,9604.0,9603.0,9512.0,9601.0,9511.0,9510.0,9509.0,9508.0,9502.0,9506.0,,9503.0,9502.0,9412.0,9411.0,9411.0,9410.0,9506.0,9407.0,9406.0,L2F,A2F,A2F,A2F,A1D,I2D,A1E,A1E,L1D,A1E,A1E,L1D,L3D, ,L3D,A2D,A2D,A3D,A3D,A3D,I4E,A3D,A3D,43,9702,113,10,25,,,,,,9601.0,,,,,,9506.0,,,,,,,,,,,,,,,,15.0,,,,,,10.0,,,,,,,,,,,254.0,37,8,3.0,9310,15.0,9601,15.0,9601,7903,8005.0,14.0,6.8648648649,7112,0,0.0,1,L,2,F,X,X,X,26.0,A
9401,CWR,0,AL,35603, , ,0,0, , , , ,XXXX,T2,40,, , , , , , ,,, ,,0,,,,,,,,,,,,,,, ,0,26,36,23,7,5,6, , , ,, , , , , , , , , , , , , , , , , , , , ,X,18172,5112,6618,81,0,19,49,51,93,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,32,39,41,33,42,45,27,37,42,21,13,25,24,17,10,6,4,15,16,34,21,15,14,5,13,20,33,47,27,8,2,65,9,5,21,192,265,69,66,0,23,23,16,4,4,0,807,899,3,3,70,30,93,7,4,42,77,67,35,86,14,7,1,6,12,14,3,20,62,11,1,4,1,3,9,31,56,84,1,1,51,56,57,15,4,13,10,7,8,7,14,1,5,21,56,81,2030.0,185.0,691.0,364,410,406,454,15619,17,13,18,22,21,5,2,1,1,11,12,17,25,25,6,2,1,1,19,3,40,8,56,44,16,87,11,0,0,0,0,0,1,1,1,26,19,23,2,66,67,80,54,77,50,58,45,79,86,3,19,13,4,12,12,0,1,7,1,14,9,4,3,1,0,6,32,3,4,3,15,5,3,1,1,8,7,5,6,7,5,6,5,74,3,0,120,10,14,27,19,7,15,8,2,25,2,19,6,0,0,0,13,27,1,34,18,25,12,0,10,1,7,0,0,11,1,0,0,0,0,1,0,0,1,67,97,2,0,1,96,72,27,4,11,5,26,43,75,88,12,1,1,7,6,78,3,0,6,97,3,60,99,97,9,3,6,4,9706,9606.0,9604.0,9604.0,9603.0,9602.0,9601.0,9511.0,9510.0,9510.0,9509.0,9507.0,9506.0,9504.0,9503.0,9502.0,9501.0,9411.0,9411.0,9410.0,9409.0,,9406.0,L1F,A1F,A1F,A1F,A1F,A2F,A2F,A2F,A2F,A2F,A2F,A2F,A2F,A2F,N3F,N2E,N2E,N2E,N2E,N2E,N2E, ,F1E,15,9702,35,6,12,,,,,,,,,,,,,,,,9506.0,,9412.0,,,,9407.0,,,,,,,,,,,,,,,,15.0,,16.0,,,,10.0,51.0,4,3,10.0,9407,16.0,9412,15.0,9506,9401,9407.0,6.0,12.75,47784,0,0.0,0,L,1,F,X,X,X,16.0,C
8701,DRK,0,IN,46755, , ,6001,0, , , , ,XXXX,T2,40,38.0,E,H, , ,F, ,1.0,4.0,F,6.0,0,,,,,,,,,,,,,,,3,0,33,36,34,7,1,1, , , ,3.0, , , , , , ,Y,Y,Y,Y, , , , , , , , , ,3,X,1067,245,348,0,99,0,46,54,99,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,35,44,49,40,50,54,25,36,41,23,12,20,18,10,8,10,22,15,14,35,23,13,24,12,22,25,31,45,27,11,4,55,8,18,19,182,263,75,73,14,23,8,3,14,14,0,484,519,3,3,64,36,95,5,0,41,70,61,35,74,26,5,2,3,13,20,5,21,51,27,0,0,0,0,1,1,11,46,0,1,48,54,54,14,5,22,1,1,15,17,3,1,0,9,50,88,0.0,91.0,509.0,251,284,278,311,10717,18,31,25,20,4,1,0,0,0,10,29,27,27,6,2,0,0,0,31,6,40,3,55,45,14,87,10,0,0,0,0,0,1,2,3,18,9,14,1,21,54,65,46,61,45,70,53,99,99,0,6,8,3,14,19,0,0,12,0,15,19,3,1,0,0,5,39,0,1,9,13,5,3,0,3,9,8,4,0,10,0,0,4,82,5,0,120,9,17,44,17,7,3,3,4,13,2,11,4,1,1,1,14,31,0,31,15,48,11,1,3,0,18,0,1,4,0,0,1,0,0,0,0,0,0,77,99,0,1,1,99,56,17,5,35,12,14,19,30,45,55,3,6,59,2,39,0,0,0,99,0,97,99,94,5,2,3,4,9706,9606.0,9604.0,,9603.0,9602.0,9601.0,9511.0,9510.0,9510.0,9508.0,9507.0,9506.0,,9503.0,9502.0,9501.0,9411.0,,9410.0,9408.0,9407.0,9406.0,L1E,A1E,A1E, ,A1E,S2E,S2E,S3E,S3E,S3E,S3E,S3E,S2E, ,S3E,S2E,S2E,A2E, ,A2E,A2E,A3E,A3E,26,9702,63,4,9,,,,,,,,,,,,,,9504.0,,,,,,9410.0,,,,,,,,,,,,,,,,11.0,,,,,,12.0,,,107.0,14,8,3.0,8705,12.0,9410,11.0,9504,8701,8705.0,4.0,7.6428571429,62117,0,0.0,1,L,1,E,X,X,X,53.0,D
9401,NWN,0,LA,70611, , ,0,0, , , , ,XXXX,T2,39,, ,U, , , , ,,2.0,F,9.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,34,36,12,3,3,1, , , ,, , , , , , , , , , , , , , , , , , , , , ,1485,424,512,99,0,0,51,49,96,2,0,1,2,0,0,0,0,0,0,0,1,0,0,1,28,37,39,30,39,43,32,36,42,23,14,28,26,16,10,4,2,15,14,36,21,14,10,3,9,15,29,56,33,11,3,69,9,3,20,227,289,63,62,0,16,16,9,0,0,0,702,787,3,3,76,24,96,4,5,54,83,71,44,93,7,9,2,7,13,7,3,26,64,7,1,1,0,1,6,18,39,85,0,2,46,53,55,16,5,8,8,21,6,7,8,3,8,13,61,91,3960.0,251.0,643.0,367,457,431,466,14248,13,14,21,17,26,3,7,0,0,8,14,22,15,29,4,8,0,0,12,3,32,4,46,54,7,80,17,0,0,0,0,0,2,1,1,9,21,23,5,76,79,89,69,85,65,75,66,85,0,2,12,12,5,11,17,0,1,10,0,18,4,1,10,0,10,7,23,9,3,5,15,1,4,1,0,11,6,3,3,3,3,1,2,87,3,0,120,4,3,49,20,3,17,5,1,35,2,27,7,0,0,0,17,34,0,36,48,12,12,0,2,11,4,0,0,7,1,0,0,0,0,0,3,0,0,81,95,1,0,4,99,70,22,5,15,0,5,31,77,92,8,0,0,44,1,55,0,0,0,99,0,19,99,98,7,2,9,4,9706,9606.0,9604.0,9604.0,9603.0,9602.0,9601.0,9511.0,9510.0,9510.0,9509.0,9507.0,9506.0,,9503.0,9502.0,9412.0,9411.0,9411.0,9410.0,9409.0,,9406.0,L3E,A3E,A3E,A3E,A3E,A3E,A3E,A3E,A2D,A2D,A2D,A2D,A1D, ,N2D,N2D,N2D,N2D,N2D,N2D,N2D, ,F1D,14,9702,35,6,12,,,,,,,,,,,9508.0,9507.0,,9504.0,,,,,,,,9407.0,,,,,,,,,,,11.0,5.0,,5.0,,,,,,,,5.0,31.0,5,4,5.0,9507,11.0,9508,11.0,9508,9401,9407.0,6.0,6.2,109359,0,0.0,1,L,3,E,X,X,X,38.0,C
8801,LIS,1,IA,51033, , ,0,0, , , , ,XXXX,R2,45,, ,U, , , , ,,3.0,M,2.0,0,,,,,,,,,,,,,,,3,0,33,27,42,5,3,2, , , ,2.0, , , , , , , , , , , , , , , , , , , , ,X,2268,622,884,0,0,99,49,51,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,47,49,39,50,52,28,32,46,22,7,19,21,11,14,15,14,11,15,38,23,13,36,17,35,28,34,39,27,9,3,67,6,12,15,166,250,89,88,1,7,6,4,2,2,1,234,288,2,1,71,29,89,11,6,35,70,64,31,84,16,4,1,3,13,19,2,24,50,26,0,0,0,0,0,1,3,9,0,1,63,61,61,13,4,3,4,3,22,2,4,1,0,1,3,13,0.0,391.0,624.0,226,266,280,323,11127,26,30,22,11,8,2,1,1,0,16,30,26,15,9,2,1,1,0,41,7,50,11,38,62,4,67,9,0,0,0,0,0,11,13,1,14,11,19,3,46,59,72,46,70,44,62,59,70,99,3,9,7,1,8,11,0,0,14,21,9,8,7,5,20,0,4,19,6,2,3,15,4,2,2,1,6,8,5,2,5,3,2,24,58,6,2,120,7,11,47,15,8,10,2,1,25,2,22,2,0,0,0,16,33,0,27,12,42,12,1,3,1,27,0,0,2,0,5,0,0,0,0,3,0,0,87,98,1,0,1,96,64,27,11,51,1,2,4,16,22,78,0,0,48,24,9,15,0,5,62,37,57,99,97,9,2,5,7,9706,9606.0,9604.0,9604.0,9603.0,9602.0,9601.0,9511.0,9510.0,9509.0,9508.0,9507.0,9506.0,,9503.0,9502.0,9412.0,9411.0,9411.0,9410.0,9409.0,9407.0,9406.0,L1F,A1F,A1F,A1F,A1F,S2F,S2F,S2F,A1F,A1F,A1F,A1F,A1F, ,A1F,A1F,A1F,A1F,A1F,A1F,A1F,A1F,A1F,29,9702,70,6,12,,,,,,,,,,,9507.0,,,,,,,,9411.0,,,,,,,,,,,,,,22.0,,,,,,,,22.0,,,,199.0,11,8,10.0,8809,22.0,9312,22.0,9507,8801,8809.0,8.0,18.090909091,75768,0,0.0,1,L,1,F,X,X,X,57.0,D
9401,MSD,1,TN,37127-, , ,3211,0, , , , ,XXXX,T1,35,65.0,I, , , , , ,,,M,,0,,,,,,,,,,,,,,, ,0,28,51,14,5,2,2, , , ,9.0,03, , , , , , , , , , , , , , , , , , , , ,2607,670,899,0,90,10,49,51,57,26,0,16,1,1,0,0,0,0,0,0,0,0,0,1,27,36,43,32,40,46,28,36,42,21,22,23,18,15,11,7,4,13,15,35,20,17,18,6,15,17,33,51,30,13,7,53,9,6,32,203,287,75,72,4,22,18,16,0,0,0,565,581,3,3,59,41,94,6,0,43,75,55,30,85,15,13,3,10,15,18,9,11,38,9,8,16,2,0,1,2,8,73,0,2,45,52,53,15,5,7,15,1,20,4,17,0,6,21,47,93,5360.0,181.0,659.0,291,329,311,332,10517,21,16,25,31,3,3,0,0,1,10,19,28,34,4,4,0,0,0,27,9,20,7,46,54,12,78,18,0,0,0,0,1,1,3,3,15,16,23,5,52,71,79,64,68,60,68,46,82,99,5,6,10,4,10,10,0,2,18,1,13,18,3,5,1,0,7,31,5,2,3,12,6,5,2,3,10,8,3,4,9,5,2,10,70,4,0,120,15,18,38,19,4,5,1,1,29,3,21,7,0,0,0,16,34,1,24,37,29,14,0,11,0,1,0,0,7,0,0,0,0,0,3,0,0,14,68,84,0,15,0,97,71,27,6,25,0,0,2,23,63,37,0,0,23,4,68,2,0,3,98,2,81,99,95,6,2,8,9,9706,9606.0,9604.0,,9603.0,9602.0,9601.0,9511.0,9511.0,9511.0,9509.0,9507.0,,,9503.0,9502.0,9412.0,9411.0,9411.0,9410.0,9409.0,,,L1F,A1F,A1F, ,A1F,A1F,A1F,A1F,A1F,A1F,A1F,A1F, , ,A1E,A1E,A1E,N2E,N2E,N2E,N2E, , ,11,9702,28,4,9,,,,,,,,,,,,,,9504.0,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,28.0,3,1,3.0,9309,15.0,9504,15.0,9504,9309,9404.0,7.0,9.3333333333,49909,0,0.0,0,L,1,F,X,X,X,34.0,B
